Month,Centername,Ber,Kinnow,Lime,Mandarin,Mosambi,Grape_t_seedless,Guava,Litchi,Bennet,Gulabkhas,Kesar,Mango_alphanso,Mango_chausa,Mango_dushehri,Mango_langra,Mango_safeda,Mango_totapari,Parkleman,Aonla,Apple_del_jk,Apple_royal_del_hp,Papaya,Pineapple,Pomegranate,Sapota,Banana
January,Ahmedabad,0,0,2500,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,1750,2700,5000,2500,1500
January,Bangaluru,0,0,4000,3000,5000,0,4500,0,0,0,0,0,0,0,0,0,0,0,4000,12000,0,1200,2500,13000,4000,900
January,Bhopal,0,0,2000,2500,3500,0,1000,0,0,0,0,0,0,0,0,0,0,0,3000,0,9000,2000,3500,7000,2500,1250
January,Chandigarh,2800,1800,2800,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200,0,1900,2750,8000,5600,1800
January,Dehradun,0,1200,2600,2000,3200,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,1200,0,5200,0,1500
January,Delhi,2200,2300,2750,3350,3600,8750,4500,0,0,0,0,0,0,0,0,0,0,0,2200,6500,10000,1000,2200,13500,4500,1400
January,Hyderabad,700,2100,1500,1100,1600,2850,1800,0,0,0,0,0,0,0,0,0,0,0,2200,0,2500,1000,1000,2800,1200,1400
January,Kolkata,3200,2700,3625,2400,5250,9900,6400,0,0,0,0,0,0,0,0,0,0,0,4000,7750,9250,3200,1950,13500,5250,1675
January,Lucknow,0,0,2900,0,3850,0,0,0,0,0,0,0,0,0,0,0,0,0,2900,5750,0,1900,1350,4850,0,1300
January,Mumbai,1500,0,1750,2100,3250,7500,2800,0,0,0,0,0,0,0,0,0,0,0,3500,9000,7000,1300,2300,13000,3750,2500
January,Pune,0,0,3900,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,1700,2350,6000,0,3000
January,Raipur,2400,0,4575,1650,4350,0,2600,0,0,0,0,0,0,0,0,0,0,0,3100,7850,0,1400,4300,10500,4450,950
January,Srinagar,0,2600,5500,4200,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,12000,0,2900
January,Varanasi,0,2100,3500,3300,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,0,1200,0,6000,0,1200
February,Bangaluru,0,3000,3500,3500,5000,5000,5500,0,0,0,0,0,0,0,0,0,0,0,6500,12000,0,1750,3000,15000,4000,900
February,Bhopal,2500,0,5000,3000,3500,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,1000,2500,7000,2000,800
February,Chandigarh,2200,1650,3700,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,7600,0,1700,2900,7500,0,1950
February,Chennai,0,3400,5500,0,5400,6800,0,0,0,0,0,0,0,0,0,0,0,0,6400,0,14500,2400,3100,19000,3100,2300
February,Dehradun,0,800,1800,1500,2000,3500,1500,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,1500,0,4500,1500,1000
February,Delhi,2500,2000,3500,6000,4000,6500,6000,0,0,0,0,0,0,0,0,0,0,0,3000,6250,10300,1000,2500,13000,3500,1600
February,Hyderabad,1100,1800,1650,1900,1750,1800,2000,0,0,0,0,0,0,0,0,0,0,0,3200,0,4650,1200,800,1750,2100,1500
February,Jammu,0,2500,6300,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,10000,0,2700
February,Kolkata,3400,3300,5850,4250,6250,7500,6400,0,0,0,0,0,0,0,0,0,0,0,3800,8050,10000,2900,1825,9500,4500,1700
February,Lucknow,0,0,3500,0,3150,6000,0,0,0,0,0,0,0,0,0,0,0,0,4200,7200,0,1550,1500,8250,0,1525
February,Mumbai,1350,0,2500,3750,4250,4350,4000,0,0,0,0,0,0,0,0,0,0,0,3000,0,10000,1300,1800,13000,3250,2000
February,Nagpur,0,0,1210,3010,2510,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,5010,0,0,3510,7500,3610,610
February,Patna,0,1950,5500,4750,4750,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,0,1750,0,9500,0,2550
February,Pune,0,0,4050,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8750,0,1650,2350,6500,0,2500
February,Ranchi,2700,2200,1350,3100,3800,6000,0,0,0,0,0,0,0,0,0,0,0,0,2600,6500,0,2500,4000,8000,4100,2550
February,Trivendrum,0,3300,5000,4500,5500,9000,3300,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,2400,2500,16250,3000,2500
February,Varanasi,0,0,2800,3500,3600,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,2100,2800,9000,0,1000
March,Ahmedabad,0,0,6000,4750,7250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,0,0,3750,9000,2400,0
March,Bangaluru,0,3500,6500,6000,5500,4500,6500,0,0,0,0,0,0,0,0,0,0,0,5500,12000,0,1900,3000,16000,4000,1200
March,Bhopal,2500,3000,4500,2500,4500,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,2000,3000,7000,3000,1200
March,Chandigarh,2300,2030,5200,3700,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,6700,0,1700,2280,6700,0,2030
March,Chennai,0,4300,5500,0,5300,5300,0,0,0,0,0,0,0,0,0,0,0,0,6800,0,15000,2500,2200,17000,3300,2300
March,Dehradun,0,1000,2500,1800,2500,3000,2000,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,1400,0,6000,2000,1200
